dataset,gauge,level,median,std,mad,step_mad,window,k,thresh,n_events,detected,n_flagged,pct_flagged,n_clusters,fp_clusters
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,1.0,3.1134599999999995,5,5,1070,0.5075516089860352,252,248
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,2.0,6.226919999999999,5,5,131,0.06213949605343048,44,40
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,3.0,9.340379999999998,5,3,44,0.020871281117182755,14,11
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,4.0,12.453839999999998,5,3,9,0.00426912568306011,9,6
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,5.0,15.567299999999998,5,1,5,0.0023717364905889494,5,3
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,6.0,18.680759999999996,5,1,3,0.0014230418943533697,3,2
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,8.0,24.907679999999996,5,0,2,0.0009486945962355798,2,2
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,10.0,31.134599999999995,5,0,1,0.0004743472981177899,1,1
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,12.0,37.36151999999999,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,15.0,46.701899999999995,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,6h,20.0,62.26919999999999,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,0.5,1.5567299999999997,5,5,1672,0.7931086824529447,211,208
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,1.0,3.1134599999999995,5,5,485,0.2300584395871281,50,47
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,2.0,6.226919999999999,5,5,110,0.052178202792956895,16,13
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,3.0,9.340379999999998,5,5,9,0.00426912568306011,9,6
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,4.0,12.453839999999998,5,1,7,0.0033204310868245293,7,5
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,5.0,15.567299999999998,5,1,4,0.0018973891924711596,4,3
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,6.0,18.680759999999996,5,0,2,0.0009486945962355798,2,2
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,8.0,24.907679999999996,5,0,2,0.0009486945962355798,2,2
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,10.0,31.134599999999995,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,12.0,37.36151999999999,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,15.0,46.701899999999995,5,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,12h,20.0,62.26919999999999,5,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,0.5,1.5567299999999997,7,7,5370,2.547244990892532,3034,3022
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,1.0,3.1134599999999995,7,6,1860,0.8822859744990893,1467,1458
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,2.0,6.226919999999999,7,6,377,0.1788289313904068,355,346
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,3.0,9.340379999999998,7,3,142,0.06735731633272617,133,130
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,4.0,12.453839999999998,7,1,53,0.025140406800242866,47,46
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,5.0,15.567299999999998,7,0,14,0.006640862173649059,14,14
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,6.0,18.680759999999996,7,0,3,0.0014230418943533697,3,3
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,8.0,24.907679999999996,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,10.0,31.134599999999995,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,12.0,37.36151999999999,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,15.0,46.701899999999995,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,1h,20.0,62.26919999999999,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,0.5,1.5567299999999997,7,7,8795,4.171884486945962,1420,1413
